epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2436.13,0.94086,0.43437,1.02164,0.97717,0.95993,0.98871,0.56616,1.50019,0.51471,1.29936,0.0011882,0.0011882,0.0011882
43,2477.42,0.94571,0.43324,1.02952,0.96638,0.97223,0.98503,0.58794,1.4115,0.49446,1.26294,0.0011684,0.0011684,0.0011684
44,2520.06,0.93357,0.42923,1.01726,0.98021,0.9698,0.99003,0.58892,1.43801,0.50135,1.24783,0.0011486,0.0011486,0.0011486
45,2561.43,0.92041,0.42078,1.02022,0.97151,0.97188,0.99008,0.58437,1.43023,0.50293,1.2695,0.0011288,0.0011288,0.0011288
46,2603.9,0.91536,0.41696,1.0166,0.98187,0.98006,0.99276,0.62135,1.37307,0.4481,1.24334,0.001109,0.001109,0.001109
47,2646.01,0.89381,0.4093,1.01126,0.98551,0.96871,0.98937,0.6016,1.43807,0.4824,1.27836,0.0010892,0.0010892,0.0010892
48,2688.38,0.89427,0.40699,1.00694,0.9807,0.98078,0.99317,0.61354,1.35979,0.45834,1.23106,0.0010694,0.0010694,0.0010694
49,2730.67,0.90225,0.41204,1.0136,0.98104,0.97294,0.98976,0.61174,1.40965,0.47528,1.25509,0.0010496,0.0010496,0.0010496
50,2773.28,0.89039,0.40834,1.00283,0.98729,0.97472,0.98911,0.59243,1.45104,0.48038,1.2894,0.0010298,0.0010298,0.0010298
51,2815.28,0.87905,0.41176,0.99674,0.97379,0.9655,0.98696,0.59888,1.37925,0.47245,1.24568,0.00101,0.00101,0.00101
52,2856.88,0.87832,0.40037,0.99872,0.98033,0.97757,0.99019,0.60017,1.37086,0.47703,1.2534,0.0009902,0.0009902,0.0009902
53,2897.71,0.88092,0.40118,1.00058,0.98133,0.98113,0.99169,0.61385,1.37247,0.45603,1.22657,0.0009704,0.0009704,0.0009704
54,2939.97,0.85416,0.39209,0.99396,0.98153,0.98362,0.99018,0.60403,1.33989,0.45092,1.24437,0.0009506,0.0009506,0.0009506
55,2982.44,0.85383,0.39661,0.98531,0.97517,0.97401,0.98692,0.60105,1.37112,0.48536,1.25463,0.0009308,0.0009308,0.0009308
56,3026.06,0.84684,0.38924,0.99038,0.97815,0.97232,0.98597,0.59291,1.44811,0.46487,1.28349,0.000911,0.000911,0.000911
57,3068.49,0.83941,0.38399,0.98528,0.9859,0.97102,0.9907,0.6084,1.39727,0.45955,1.25795,0.0008912,0.0008912,0.0008912
58,3109.89,0.84095,0.39075,0.98508,0.97974,0.97722,0.99082,0.61251,1.3804,0.45496,1.26217,0.0008714,0.0008714,0.0008714
59,3153.35,0.82637,0.37596,0.97925,0.98039,0.96974,0.99025,0.61599,1.3715,0.45997,1.27261,0.0008516,0.0008516,0.0008516
60,3195.65,0.81683,0.37887,0.97167,0.97062,0.96457,0.98533,0.60791,1.39503,0.46121,1.27827,0.0008318,0.0008318,0.0008318
61,3238.14,0.79259,0.3648,0.96071,0.9689,0.96903,0.98433,0.62474,1.36262,0.45231,1.24733,0.000812,0.000812,0.000812
62,3280.2,0.80539,0.3734,0.96671,0.98226,0.97864,0.99257,0.63019,1.38029,0.45615,1.26181,0.0007922,0.0007922,0.0007922
63,3321.95,0.8018,0.37363,0.96393,0.97235,0.97401,0.98787,0.64323,1.31753,0.44065,1.24909,0.0007724,0.0007724,0.0007724
64,3362.53,0.78159,0.36956,0.96097,0.9776,0.97401,0.98921,0.61968,1.34032,0.44841,1.24946,0.0007526,0.0007526,0.0007526
65,3405.34,0.78549,0.37006,0.96201,0.97999,0.9588,0.98764,0.62834,1.34735,0.44995,1.24763,0.0007328,0.0007328,0.0007328
66,3449.18,0.76778,0.36027,0.95039,0.98448,0.97579,0.98962,0.63056,1.37214,0.45094,1.2843,0.000713,0.000713,0.000713
67,3492.55,0.75799,0.35479,0.94779,0.97715,0.97415,0.99007,0.6277,1.39532,0.45349,1.2774,0.0006932,0.0006932,0.0006932
68,3532.78,0.75595,0.35295,0.95,0.97936,0.97951,0.98908,0.62901,1.3588,0.43895,1.27964,0.0006734,0.0006734,0.0006734
69,3574.63,0.74095,0.3423,0.94594,0.9839,0.9765,0.99257,0.64368,1.32935,0.43534,1.26141,0.0006536,0.0006536,0.0006536
70,3616.94,0.72589,0.34355,0.9382,0.98038,0.97819,0.99232,0.62807,1.40115,0.44741,1.28833,0.0006338,0.0006338,0.0006338
71,3658.32,0.73512,0.34505,0.93449,0.98212,0.97782,0.98985,0.63949,1.35685,0.42836,1.27508,0.000614,0.000614,0.000614
72,3699.65,0.73091,0.33594,0.93635,0.98156,0.98113,0.99022,0.63205,1.3611,0.43601,1.26596,0.0005942,0.0005942,0.0005942
73,3742.18,0.71536,0.33312,0.93144,0.98249,0.98291,0.99132,0.62754,1.36451,0.43161,1.28292,0.0005744,0.0005744,0.0005744
74,3784.51,0.70792,0.3425,0.92482,0.98265,0.97615,0.98925,0.61945,1.37091,0.44071,1.28076,0.0005546,0.0005546,0.0005546
75,3827.23,0.7029,0.33551,0.9241,0.97523,0.96974,0.98557,0.64383,1.32322,0.43843,1.25601,0.0005348,0.0005348,0.0005348
76,3869.66,0.69221,0.33076,0.92341,0.98639,0.97152,0.98856,0.64784,1.34552,0.43036,1.26579,0.000515,0.000515,0.000515
77,3910.03,0.69522,0.32936,0.92497,0.98243,0.97722,0.98945,0.63663,1.3481,0.43311,1.28276,0.0004952,0.0004952,0.0004952
78,3950.25,0.67745,0.32193,0.919,0.98562,0.97595,0.99174,0.6372,1.39647,0.44253,1.30065,0.0004754,0.0004754,0.0004754
79,3990.17,0.68448,0.32591,0.92062,0.98355,0.97925,0.9907,0.65017,1.31284,0.42236,1.26427,0.0004556,0.0004556,0.0004556
80,4030.37,0.67129,0.31708,0.9142,0.98284,0.97896,0.99161,0.63971,1.3862,0.4334,1.30759,0.0004358,0.0004358,0.0004358
81,4070.43,0.65731,0.31444,0.91324,0.98463,0.98065,0.99189,0.64857,1.35721,0.4356,1.30609,0.000416,0.000416,0.000416
82,4110.76,0.66245,0.3169,0.90917,0.98986,0.9765,0.99277,0.64887,1.3622,0.4273,1.30678,0.0003962,0.0003962,0.0003962
83,4152.22,0.65354,0.31468,0.90212,0.9847,0.98256,0.99277,0.64501,1.34614,0.42873,1.29769,0.0003764,0.0003764,0.0003764
84,4193.44,0.64708,0.31098,0.90706,0.98569,0.98074,0.99204,0.65588,1.32171,0.41796,1.28086,0.0003566,0.0003566,0.0003566
85,4234.09,0.63923,0.30891,0.90624,0.98339,0.98256,0.99168,0.6482,1.3318,0.4205,1.29751,0.0003368,0.0003368,0.0003368
86,4277.25,0.62581,0.30147,0.8964,0.98811,0.97671,0.99127,0.65448,1.30087,0.42361,1.28358,0.000317,0.000317,0.000317
87,4320.32,0.6197,0.301,0.89601,0.98741,0.98078,0.9934,0.65045,1.35814,0.42604,1.30759,0.0002972,0.0002972,0.0002972
88,4362.59,0.61585,0.29829,0.89664,0.99313,0.97773,0.99355,0.65517,1.33685,0.41519,1.3074,0.0002774,0.0002774,0.0002774
89,4404.09,0.61064,0.29711,0.88932,0.98878,0.97864,0.99242,0.6579,1.3402,0.4227,1.3089,0.0002576,0.0002576,0.0002576
90,4446.67,0.60144,0.29543,0.89385,0.98735,0.98362,0.99269,0.66439,1.30708,0.41121,1.30236,0.0002378,0.0002378,0.0002378
91,4532.99,0.60654,0.29839,0.89458,0.9811,0.97956,0.9895,0.6556,1.32567,0.41989,1.30361,0.000218,0.000218,0.000218
92,4573.36,0.5901,0.2888,0.88355,0.98661,0.97971,0.9927,0.6567,1.35285,0.42093,1.31833,0.0001982,0.0001982,0.0001982
93,4613.07,0.58228,0.28872,0.88535,0.98694,0.97757,0.99171,0.65056,1.34248,0.42758,1.31542,0.0001784,0.0001784,0.0001784
94,4652.94,0.5788,0.28606,0.88308,0.9928,0.97544,0.99327,0.65871,1.34742,0.41951,1.32145,0.0001586,0.0001586,0.0001586
95,4693.04,0.57876,0.28683,0.885,0.98715,0.97971,0.99277,0.66267,1.3114,0.40873,1.2994,0.0001388,0.0001388,0.0001388
96,4733.12,0.57932,0.28298,0.88157,0.99226,0.97437,0.99234,0.6677,1.29869,0.40568,1.29034,0.000119,0.000119,0.000119
97,4772.98,0.5716,0.28145,0.87969,0.99094,0.97319,0.99145,0.6628,1.31346,0.41473,1.29734,9.92e-05,9.92e-05,9.92e-05
98,4813.66,0.56434,0.27592,0.87515,0.98971,0.97223,0.9915,0.66174,1.31454,0.41499,1.30352,7.94e-05,7.94e-05,7.94e-05
99,4853.73,0.55509,0.27987,0.87564,0.98967,0.97366,0.99161,0.66739,1.29486,0.41197,1.29939,5.96e-05,5.96e-05,5.96e-05
100,4894.18,0.55218,0.27394,0.87794,0.99166,0.97326,0.99186,0.66046,1.32048,0.41469,1.31398,3.98e-05,3.98e-05,3.98e-05
